what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1290900481883
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290900482319
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290900484057
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290900493647
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290900494906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290900496766
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290900497495
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290900497536
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1290900497598
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1290900497668
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1290900497669
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1290900497669
